date,day_of_year,daily_avg_temp_c,daily_min_temp_c,daily_max_temp_c,daily_precipitation_mm,daily_solar_radiation_mj_m2,daily_avg_humidity_percent,daily_et0_mm,gdd_accumulated,crop_growth_stage,total_biomass_kg_ha,leaf_area_index,crop_nitrogen_demand_kg_ha,fraction_awc,daily_etc_mm,daily_percolation_mm,daily_runoff_mm,daily_irrigation_mm,daily_fertilization_kg_ha,soil_urea_kg_ha,soil_ammonium_kg_ha,soil_nitrate_kg_ha,crop_nitrogen_uptake_kg_ha,nitrogen_daily_leaching_kg_ha,overall_stress_factor,water_stress_factor,nitrogen_stress_factor,disease_stress_factor,disease_severity_percent,triggered_rules
2025-08-16,228,15.534933792754288,4.667280505014526,25.882664785441047,0.0,27.06372900468554,68.4704952492583,2.0,7.9413323927205255,VE,94.72305151639941,0.0,0.3,0.587,0.0,0.0,0.0,0.0,0.0,0.0,4.716249780844758,14.98375021915524,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Low_Foliar_Disease_Pressure_LWD
2025-08-17,229,15.024007470772679,4.39503179097319,25.493787395155078,0.1227713853653818,27.06372900468554,69.76024357316622,2.0,15.688226090298066,VE,189.44610303279882,0.0,0.3,0.575,0.0,0.0,0.0,0.0,0.0,0.0,4.463970697856491,14.936029302143508,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Low_Foliar_Disease_Pressure_LWD
2025-08-18,230,14.839067124848754,5.126503714536618,25.252147626770952,0.9684101312902439,22.51785089576707,69.96446597552786,2.0,23.31429990368354,VE,268.25858116798355,0.0,0.3,0.581,0.0,0.0,0.0,0.0,0.0,0.0,4.2261208372089705,14.873879162791027,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Low_Foliar_Disease_Pressure_LWD
2025-08-19,231,15.077550731066372,5.223351856745533,25.613762329306876,0.2096105969202044,17.659333305723226,70.35620832442736,2.0,31.12118106833698,VE,330.06624773801485,0.0,0.3,0.571,0.0,0.0,0.0,0.0,0.0,0.0,4.000709167160057,14.79929083283994,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Low_Foliar_Disease_Pressure_LWD
2025-08-20,232,14.947534182016847,5.313581245170973,25.733916011183577,0.0,25.607635896988626,69.26934707691937,2.0,38.98813907392877,VE,419.692973377475,0.0,0.3,0.558,0.0,0.0,0.0,0.0,0.0,0.0,3.7942518826506637,14.705748117349334,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Low_Foliar_Disease_Pressure_LWD
2025-08-21,233,14.9986273153292,5.005127592481854,25.594604107733648,0.3166431150562157,16.249416039977394,70.23950543098285,2.0,46.78544112779559,VE,476.5659295173959,0.0,0.3,0.55,0.0,0.0,0.0,0.0,0.0,0.0,3.6004944798672054,14.59950552013279,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Low_Foliar_Disease_Pressure_LWD
2025-08-22,234,14.82500525054092,4.178953954481617,24.72022560482249,0.0,15.75510898321799,69.11662279573602,2.0,54.14555393020684,VE,531.7088109586589,0.0,0.3,0.537,0.0,0.0,0.0,0.0,0.0,0.0,3.4233751538175814,14.476624846182414,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Low_Foliar_Disease_Pressure_LWD
2025-08-23,235,14.98547791342132,5.4881031054296265,S24.306622426487984,0.6389068422992007,22.6526168009794,69.78972360622089,2.0,61.298865143450826,VE,610.9929697620868,0.0,0.3,0.536,0.0,0.0,0.0,0.0,0.0,0.0,3.2531792175832965,14.346820782416698,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Low_Foliar_Disease_Pressure_LWD
2025-08-24,236,15.018714478058348,4.515704025224634,25.334570367404268,0.366409875168854,17.980648190017178,69.42975184239563,2.0,68.96615032715296,VE,673.925238427147,0.0,0.3,0.529,0.0,0.0,0.0,0.0,0.0,0.0,3.093148361727257,14.206851638272736,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Low_Foliar_Disease_Pressure_LWD
2025-08-25,237,15.044390446666037,4.627024294431472,25.815620846124563,0.7553763390088892,26.846271145744936,69.50437731051738,2.0,76.87396075021525,VE,767.8871874372543,0.0,0.3,0.53,0.0,0.0,0.0,0.0,0.0,0.0,2.9404014723121645,14.059598527687829,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Low_Foliar_Disease_Pressure_LWD
